gen,mu,genicVar,F.coeff,n.parent,n.mate,accuracy,method
1,0.915243128,0.958758444,0.01,65,99,0.438643144,OCS-A-Pheno
2,1.503962481,0.992522927,0.02875,47,96,0.388572908,OCS-A-Pheno
3,2.118508045,0.998037038,0.0378125,30,84,0.500669727,OCS-A-Pheno
4,2.632603282,1.002313645,0.04359375,33,91,0.378588317,OCS-A-Pheno
5,3.309248826,0.996266204,0.039804688,50,99,0.315598914,OCS-A-Pheno
6,3.853285247,1.007543851,0.047871094,86,100,0.436958155,OCS-A-Pheno
7,4.265727727,0.985633934,0.050598145,97,97,0.332753534,OCS-A-Pheno
8,4.676555849,0.983505253,0.05399353,101,100,0.394557166,OCS-A-Pheno
9,4.817299823,0.987205483,0.06674408,103,100,0.414834868,OCS-A-Pheno
10,5.378456334,0.974209726,0.074822559,50,98,0.42054883,OCS-A-Pheno
11,6.056070157,0.937894027,0.071338415,40,91,0.28513938,OCS-A-Pheno
12,6.317722119,0.9377205,0.085440402,75,98,0.543330489,OCS-A-Pheno
13,6.775961386,0.899769123,0.099761403,46,95,0.41390786,OCS-A-Pheno
14,7.348583088,0.875936818,0.102810913,33,88,0.454174564,OCS-A-Pheno
15,7.429682008,0.859320082,0.115590502,58,100,0.157018499,OCS-A-Pheno
16,7.969859673,0.852210071,0.118539549,34,90,0.301786192,OCS-A-Pheno
17,8.190765904,0.823476546,0.128134344,60,99,0.433010884,OCS-A-Pheno
18,8.468315598,0.80378184,0.128871073,48,97,0.310537619,OCS-A-Pheno
19,8.841095076,0.780893509,0.132396387,77,99,0.438401701,OCS-A-Pheno
20,9.028794623,0.781358126,0.139710044,86,99,0.467715686,OCS-A-Pheno
5,3.309248826,0.996266204,0.039804688,50,99,0.315598914,OCS-A-GEBV
6,3.928543262,0.99803496,0.046987305,94,99,0.601614247,OCS-A-GEBV
7,4.323577444,0.945967962,0.052446289,103,100,0.324278513,OCS-A-GEBV
8,4.986420294,0.930661001,0.055932007,91,100,0.44561686,OCS-A-GEBV
9,5.384374374,0.899858611,0.078212204,89,100,0.58853656,OCS-A-GEBV
10,6.241839153,0.835585458,0.081371975,44,93,0.282033844,OCS-A-GEBV
11,6.808588726,0.824321985,0.093858371,63,97,0.394969238,OCS-A-GEBV
12,7.456363831,0.809192686,0.096270415,54,98,0.433246408,OCS-A-GEBV
13,7.622777089,0.811406104,0.114209029,68,97,0.238622635,OCS-A-GEBV
14,8.30392797,0.778313553,0.129555218,44,100,0.302805044,OCS-A-GEBV
15,8.699587755,0.749860019,0.155692395,50,99,0.333080702,OCS-A-GEBV
16,9.291400934,0.687037492,0.16884364,34,94,0.432440231,OCS-A-GEBV
17,9.70899621,0.628533554,0.162437328,28,82,0.340818035,OCS-A-GEBV
18,9.732930705,0.64072625,0.170213722,112,100,0.40201532,OCS-A-GEBV
19,10.09641924,0.619925586,0.180287451,78,100,0.28047421,OCS-A-GEBV
20,10.50342914,0.621827876,0.192753275,51,97,0.349107025,OCS-A-GEBV
5,3.309248826,0.996266204,0.044724,50,99,0.315598914,OCS-G.IBD-GEBV
6,3.736515714,0.995498206,0.061108,87,99,0.511645737,OCS-G.IBD-GEBV
7,4.522224083,0.976079518,0.080132,60,95,0.411165947,OCS-G.IBD-GEBV
8,5.335174212,0.894426895,0.08639,38,100,0.49738307,OCS-G.IBD-GEBV
9,5.865927931,0.843248627,0.10655,51,98,0.46407332,OCS-G.IBD-GEBV
10,6.638218451,0.821083478,0.10813,41,98,0.426412931,OCS-G.IBD-GEBV
11,7.048885735,0.822861413,0.11195,69,98,0.457845475,OCS-G.IBD-GEBV
12,7.351930475,0.813857609,0.109806,58,96,0.443593555,OCS-G.IBD-GEBV
13,7.399141163,0.823882992,0.124788,78,99,0.292504738,OCS-G.IBD-GEBV
14,7.959248601,0.804268154,0.133526,57,100,0.469151753,OCS-G.IBD-GEBV
15,8.355248288,0.764457251,0.129314,52,96,0.301304442,OCS-G.IBD-GEBV
16,8.289524402,0.770290797,0.13657,67,99,0.319153142,OCS-G.IBD-GEBV
17,8.658194427,0.779100189,0.138718,68,100,0.420010946,OCS-G.IBD-GEBV
18,8.834272017,0.748875526,0.152864,66,96,0.248143596,OCS-G.IBD-GEBV
19,9.132684932,0.719185216,0.166126,69,97,0.406160103,OCS-G.IBD-GEBV
20,9.454464607,0.673164023,0.179524,49,96,0.517924722,OCS-G.IBD-GEBV
5,3.309248826,0.996266204,0.0575182,50,99,0.315598914,OCS-G.VR-GEBV
6,3.958318916,1.006672493,0.080937804,55,98,0.504607238,OCS-G.VR-GEBV
7,4.901914401,0.948044663,0.088770855,48,96,0.503889662,OCS-G.VR-GEBV
8,5.267705183,0.932294663,0.098039806,52,95,0.328176472,OCS-G.VR-GEBV
9,5.790180842,0.939612616,0.106699585,45,98,0.52216469,OCS-G.VR-GEBV
10,6.205390433,0.927441218,0.131863814,47,91,0.453593266,OCS-G.VR-GEBV
11,6.807157502,0.842318156,0.159030112,34,92,0.379070997,OCS-G.VR-GEBV
12,7.289818579,0.806744046,0.182350923,33,99,0.246213973,OCS-G.VR-GEBV
13,7.465680311,0.768796533,0.223025041,32,94,0.332668879,OCS-G.VR-GEBV
14,8.054180443,0.728460081,0.238170687,28,95,0.393116886,OCS-G.VR-GEBV
15,8.563357556,0.687929829,0.256252273,24,85,0.239325979,OCS-G.VR-GEBV
16,8.809578313,0.653095899,0.280390584,31,89,0.35441431,OCS-G.VR-GEBV
17,9.249280978,0.628062194,0.287399452,34,91,0.295631931,OCS-G.VR-GEBV
18,9.524804408,0.615313858,0.32484041,38,90,0.381900609,OCS-G.VR-GEBV
19,9.906206809,0.589124747,0.352347487,23,82,0.405029415,OCS-G.VR-GEBV
20,10.09431575,0.594197697,0.378852303,15,69,0.420627219,OCS-G.VR-GEBV
5,3.309248826,0.996266204,0.039804688,50,99,0.315598914,OMA-A-GPMP
6,4.534512197,0.980571721,0.020297852,69,49,0.711921834,OMA-A-GPMP
7,4.655127539,0.956512872,0.04078125,130,76,0.813489854,OMA-A-GPMP
8,5.462497333,0.894524979,0.051461182,58,40,0.7270989,OMA-A-GPMP
9,5.877980845,0.873847175,0.055451889,100,60,0.664894787,OMA-A-GPMP
10,6.41480233,0.848584345,0.059129562,96,60,0.718678825,OMA-A-GPMP
11,6.751180702,0.827073629,0.064951162,106,62,0.528476101,OMA-A-GPMP
12,7.203688525,0.814259837,0.070513229,99,59,0.716991238,OMA-A-GPMP
13,7.568540589,0.797772414,0.071458626,84,53,0.69133378,OMA-A-GPMP
14,8.00508865,0.768129332,0.075050898,58,40,0.644702439,OMA-A-GPMP
15,8.585964696,0.739264503,0.083116884,75,45,0.712141328,OMA-A-GPMP
16,8.972608985,0.727418992,0.086291079,82,49,0.541333212,OMA-A-GPMP
17,9.343927942,0.724532055,0.096351945,80,49,0.67241836,OMA-A-GPMP
18,9.335936904,0.709305585,0.100944269,117,68,0.522855526,OMA-A-GPMP
19,9.71266103,0.705452415,0.107173056,107,61,0.525058864,OMA-A-GPMP
20,10.1276152,0.697463793,0.109117806,86,52,0.568453864,OMA-A-GPMP